id,control,input,output
yelp_train_632777,Positive,I realllyyyyy,"wanted to go with the Sage chicken and waffles which this place is so famously known for. But I took a peek at the table next to us. The portion size looked soooo huge and since my boyfriend doesn't like fried chicken, it was just too much for my tummy to intake by my lonesome. Instead I got the ham bacon Farm Scramble! It was delish, nothing exceptionally special. I got them with a side of mashed and that mashed potatoes seemed up really hit the spot. I would definitely go here again. Oh and the service was good. No issues. Brought water and food w/in a reasonable time frame."
yelp_train_460824,Negative,We went to the movies,"last night and stopped to get some popcorn. The line was normal for a Saturday night. As we're waiting, we realize, we're not moving...granted, we got there at 7:15 and our movie started at 7:15...we waited in line for 30 mins. C'mon guys, seriously??"
yelp_train_624257,Positive,Rob is awesome at insurance.,I have known him for years and he is always reliable and honest. He just saved a group of employees I know alot of money and made them so happy. Such a great guy and I trust him with anyone I know.
yelp_train_166946,Negative,If your goal,"is to simply get to Vegas and spend money everywhere but your hotel, then Imperial palace is your hot spot. The celebrity impersonators all look like heroine addicts and the elevators smell like vomit. Each floor smells of weed and all strip centered rooms are extremely loud and still bad. Your average motel six beats this place badly. The bars and buffets are so bad you wouldn't even consider them dives. If you need to do Vegas cheap go to Golden Nugget or Excalibur. NEVER STAY AT THE IP!!!!!!"
yelp_train_517204,Positive,My husband and I,walked by this only hours before we were getting married. I have always wanted to see what it was about so when we saw this at our hotel we decided to give it a try. We were seated in front of machines and given a disposable piece that goes in the nostrils. While enjoying the oxygen treatment the workers come around and do things to help you relax even further like putting essential oil on the back of your neck. They also demonstrate various massage and relaxation products on you while you sit there. The products are available for purchase when done. I really enjoyed this and found it relaxing.
yelp_train_376377,Negative,,"Closed for business, unfortunately. We miss you 12 east cafe!!"
yelp_train_334792,Positive,,"Really enjoyed this restaurant, but I have to knock off a star because they did not offer any seafood choices that were sustainably harvested. Choices were shark, orange roughy from New Zealand, swordfish, or octopus. I went with the swordfish (hoping it was Canadian handline or harpoon caught!), and I must say it was delicious, regardless of its origin! The spices were subtle, enhancing but not overpowering the delicate flavor of the fish, which was perfectly cooked. I'm a fan of baked tomatoes, so having one on my plate made me happy. My husband had the octopus, said it was okay but not great. The table d'h\u00f4te menu was a good value - my salad, highlighted with a tropical fruit-like item, was very tasty, and the dessert sorbets were nice. We upgraded one of the desserts to the frozen pie, which was AMAZING - I've enjoyed icebox pie before (notably at Lois the Pie Queen in Oakland, CA), but this outclassed anything I've ever tasted. There was a subtle spicy pepper flavor to it that put it over the top. Also liked the restaurant's atmosphere - fun colors, upbeat music, and the owners (who were also serving) were very friendly. And we were glad not to have to pay markup on the tasty Lirac that we purchased at a nearby SAQ."
yelp_train_43468,Positive,,I use these for gifts for my customers which makes me look great! I used Mrs Fields in the past which are like grocery store cookies by comparison. First class!
yelp_train_97999,Negative,Food,"is really average and bland, not what I was hoping for by any means. Weird place in general, not an atmosphere I enjoyed or wanted to come back to anytime soon."
yelp_train_333591,Negative,,- Made a reservation for Valentine's day based on positive reviews - Food was fresh and authentic - Service made the experience unbearable. We waited 30 minutes between each course and the bill. The total dining experience was 2:30hrs. - We were beginning to fall asleep at the table with the amount of time it was taking OVERALL: Food was good but didn't justify the wait. Won't be going back. Sorry!
yelp_train_619596,Negative,Sat outside at our,"table for about 20 minutes as servers walked past us over and over. Finally flagged one down and the look on his face was like \""Oh, didn't see you there\"" as if we magically became corporeal. Granted I came on a Sunday around 11am, but 20 minutes without even being acknowledged really grinds my gears. The food was OK but nothing special. Plenty of better breakfast places around."
yelp_train_495507,Negative,This is worth going,"to for the experience. Read a little about how to find it, but don't study the directions. Get lost trying to find this place, it is half the fun. The pizza is ok, but it is counter pizza that needs to be heated up."
yelp_train_58541,Negative,DO NOT COME,"HERE!  They are a bunch of scammers! I went in for a simple oil change and was given a list of things that need replacing (all of which I'm well aware of & have had NO problems with) I declined the managers offer to fix it for a low prices and he persistently told me my car would overheat and damage my engine if i did not get the suggested replacements...  Long story short, the next day my car overheated & is now having problems starting! My check engine light popped on which has NEVER happened and I do believe they altered my car so I'd return to get my car fixed at a \""low price.\""  Please, don't bring your car here. A $25 oil change is now going to cost me hundreds in repairs."
yelp_train_480212,Positive,The decor,"and Margarita's were both amazing! Very fun vibe in this place, and I love that one side of the bar is open street side for some fresh night air, and so you still feel connected to what's happening on Mill Ave.  The bartenders are super attentive and fun, but the wait staff are constantly changing tables which takes away from the relationship aspect of dining and can be confusing when you're trying to pay your tab and leave.  Wasn't very impressed with the food - the salsa for the chips tasted like ketchup and BBQ sauce, and the fish tacos were just OK.  Summary: great place to go for drinks and atmosphere (sit at the bar), but make your dining plans elsewhere."
yelp_train_566801,Negative,Century Link was my only,"option at the apartment I lived in. Their internet speed is a joke and at least three times week I had no service at all. When my bill was doubled I called the \""Retention\"" department asking for a loyalty discount as I have been told is available and they did lower the bill, however the person I spoke to did not tell me that signed me up for another contract and that if I moved out of state and their service was not available in that area I would still be hit with a hefty termination fee. I understand termination fees if you CAN use them in your new area, but if you cannot and its out of your hand I believe it would be an honest business practice not to hit you with termination fees and that the HUMAN BEING you speak to should advise you of this at minimum. Their service was always slow when it was available and their customer service does not exist. This company has zero humanity or ethics and their product is unreliable and useless. If I could have given them negative stars I would have."
yelp_train_561385,Negative,I am a,"big brisket fan, so I ordered the brisket platter. The portion was small but the flavor was even smaller or non-existant. The was absolutely no flavor other than the vinegar based sauce they used, which wasn't very good either. The brisket had no noticeable smoke ring and had smoke flavor. The brisket was dry and chewy except for the sauce. The onion ring were bland, nothing special. The menu said cold beer and they couldn't even get that right. Over-all I was highly disappointed. I was hoping to find some place closer to home than Mac's speed shop for good brisket but I guess I'll keep looking."
yelp_train_194310,Positive,Bar review. Amazingly attentive bartenders with,"great personalities that can really satisfy your palate. Great atmosphere, and I had the asparagus bruschetta, and loved it. I'm a huge asparagus fan... but this was really good. Great looking crowd, and very easy to get to off the 101."
yelp_train_465997,Positive,Didn't make,"it around the menu yet but from the taste of the two pastries I had they deserve every star available. Choux la creme and pear tart, unbelievable pastry. Quality is very similar to Tartine in San Francisco (minus the cakes) and I'll add to this review once I try the quiche and sandwiches. Once you've eaten around enough in your life you get an idea that this is one of those, \""You can't go wrong with anything you order.\"""
yelp_train_638293,Positive,I came,"here during lunch time and the prices were superb for what you get. I got the grilled fish combo for 10.50. The salad dressing was amazing and refreshing. The sashimi was super fresh. You get a little of everything. Also, you can request brown instead of white rice without up charge. The place is really small and myself and another person were the only customers there. I'm surprised not more people know about this. Also, the hostess/waitress was very friendly! I will definitely come here again in the future!"
yelp_train_99039,Positive,Everyone's reviews on this,"place hit the nail on the head. It's a great eatery that just happens to be located in East Mesa, but it could be located in Scottsdale or Phoenix or Paradise Valley.  If you're hiking, biking, boating or fishing as most East Mesans do, you're sure to pass this place on the NW corner of Power and McDowell, which isn't too far from the Tonto National Forrest and the Salt River. I swear they pump out heavenly kitchen smells every evening to draw in unsuspecting, hungry drivers. It works.  The restaurant is right off the street facing South on McDowell. It's a hop, skip and a jump to a Starbucks (that's 100 paces) and has a nice porch with misters for the summer months. However, you won't be craving Starbucks afterwards because \""The Brew\"" as we call it really pushes the fluids.  CAUTION: If you're bringing someone who has trouble with balance or is disabled or if you are trying to decide which heels to wear when visiting, just note that the floor surface tends to be quite slippery. I'm not sure in which category the cuisine would be placed, but I'm going to say it's probably predominantly Italian American. I say that because of the dishes, the pizza selection and sauces used and because this is the one place in Arizona where I would order a Cannoli.  Real, authentic Cannoli are illusive things. They can either be filled with cream or custard or Riccota or a combo, which I prefer. There should really be chocolate pieces and Italian cinnamon and maybe a couple Maraschino cherries inside. The shell should be crisp and have a certain doughy cinnamon flavor, but not overpowering. I don't go for adding alcohol or bits of dried fruit, but that would be an authentic version as well. Red, White & Brew offers the custard/creme Cannoli with chocolate chips inside (no cherries except for one on top) and the shell is 100% authentic with the Italian cinnamon flavor. It's something to split with your date. It's rich like cheesecake and goes quite well with an after dinner coffee or spirits. I'd jog in place for an hour for one of these, is all I'm sayin'."
yelp_train_487340,Negative,It's such a great,"space, but that's not hard to do on the Strip. The problem is, I just didn't think it was all that. Our waiter made me anxious with his hyperactive presentation style. The menus are covered in this weird orange rubbery material that reminded me of Howard Johnson's. We ordered apps and mains and a glass of wine each. It's not like we were being cheap, but he kept up selling and it was annoying. The pretzel roll was the best thing I had. I ordered Ceaser salad because I needed a little crunch. It was pretty soggy. Over dressed. The scallops themselves were delicious, but whatever the pur\u00e9e was was tasteless (and it looked like someones thumb had gotten stuck in it on the way out) and the sauce looked like it had just been thrown on the plate. Disappointing. The husbands crab/avocado was tasty, if not a major throwback, but his fish was just heavy w butter and under seasoned.  On top of everything, I felt like we were really being pushed through. I just never felt like I could relax and enjoy my not inexpensive meal. The only time I felt like we were wanted was when we didn't buy into the upsell for coffee and dessert.  The bathroom was cool, though."
yelp_train_432005,Positive,Been going to,"Saba's for years. Ran across a Boot Barn on a camping trip in Colorado and was super impressed with them. When we got home I looked for one here and was surprised to find one within 40 miles of my house. Headed out for the first time today and found their prices to be WELL below the prices at Saba's. I purchased an MHT hat for $39.99 here that sells for $79.99 (no, sadly, I am not kidding) at Saba's. This price was not a sale, it was the same price at the Boot Barn in Durango, they just did not have my size. The man working the counter was quite friendly and knowledgeable. Sadly, for Saba's, this Boot Barn location has earned my future business."
yelp_train_616780,Negative,Booked for the Sheraton (,"over a month in advance) during the ACC Championship, check-in was 3pm we got there a little after 3 and were told that our room wasn't clean yet and they'd call my cell when it was ready. Albeit frustrating they comped our parking and the lobby was full of ppl in the same boat so we sat down at the bar for a beer. An hour later we went back to the front desk and were very rudely told that there were no available rooms and no estimation for when a room would be available, but they'd gladly take our number. After 30 mins. I watched two groups of ppl walk in the door, check-in and immediately receive room keys. After waiting in line for 15-20 mins while other patrons argued with the staff and received keys, I plead my case and was rewarded with a room on the Le Meridian side of the hotel (much newer and nicer). Bathroom was small and the air conditioner a little slow to work but otherwise once we actually got a room it was nice!"
yelp_train_586277,Positive,Delicous burger. Size was a,bit smaller but every bite is heaven. French fries was awesome as well. The ambient is top notch.  I ordered a few rum and cokes and they were real strong - must for being $10/piece.
yelp_train_22600,Negative,Worst possible gym ever.,Staff is extremely unprofessional. and equiptment is dirty all the time. Trash is never taken out and sweat is never wiped up. Its a money scam dont expect to walk in without being harrassed for days via phone to join. Its a 24 hour fitness that isnt open 24hours. Nobody who works there is genuine. I say save your money and go to LA fitness or even a youfit. Nothing here is special its over priced mediocre.
yelp_train_466839,Positive,Wir,waren jetzt schon etliche Male im Vesuvio und jedes Mal sehr zufrieden. Das Essen schmeckt gut und die Portionen sind gro\u00df. Die Preise sehr fair und der Service immer sehr zuvorkommend und freundlich.
yelp_train_249700,Positive,Went for lunch,"again, on 9/6. We were gonna only have some noodles, but we couldn't resist ordering some entrees. We had Hong Kong style chow mein with Chinese broccolli and pork, deep fried tofu, Chinese beef stew with turnips, and an order of Steamed chicken with ginger sauce. The chicken was only mediocre, but everything else was very good. The deep friend tofu is pretty simple -- just small pieces of tofu rolled in corn starch and deep fried. But I love tofu so this dish is really comfort food for me. My wife loves noodles, especially Hong Kong style noodles -- but of course, our favorite noodle style is \""Hawaiian cake noodle\"" -- on available in Hawaii or Hawaiian-style Chinese restaurants.  This style of noodles came about due to a cooking error many years ago. A restuarant in Hawaii was boiling noodles for some soup noodle dish and overcooked the noodles -- they came out overcooked and squooshy. Not wanting to waste the noodles, they put oil in a pan and fried the noodles until one side was crispy and then they flipped it over and fried the other side until crispy. This way, the outside of the \""noodle cake\"" is crispy and brown, but the insides are soft and chewy. These days the technique has been perfected such that when the overcooked noodles are removed from the pot, they are drained but not rinsed -- this keep as much starch on the noodle and when fried, the starch makes the noodle stick together -- try making it at home. It is delish!! Put your favorite Chinese noodle toppings on it, especially if it has a little bit of gravy with it."
yelp_train_519740,Positive,Absolutely love Tease it Up.,Tara is THE best!! Great quality work at fair prices in a relaxed atmosphere.
yelp_train_347434,Positive,We came,"here for a bachelor party dinner. I was the best man and had to organize the dinner. Making reservations was very simple and easy. We had a party of 16 and they were able to accommodate us fairly easily. I made reservations like 3 weeks before our dinner. Like the others here have said, make sure you come here on an empty stomach since you will be able to eat to your heart's content. We had come from a day of intense paintballing so we were hungry. The meat was seriously flowing that day. Some were better than others but overall it was great."
yelp_train_114707,Positive,I LOVE this,"place! I don't consider myself a BBQ connoisseur, but I know what I like: 1. Heat 2. Little (not too much) sweet 3. Smoke This place has a fantastic sauce that I think I would eat on everything from waffles to eggs! Ok, maybe I am stretching a little there, but not by much. Now what to put under the sauce? They have all the classics; pulled pork, brisket, chicken, chicken wings, etc. etc. For me, it has been, since my first visit, all about the hot links. My mouth is watering just thinking about them! Great flavor, and that sauce doesn't cover it up, but really shows it off. I am so blown away by these links that I will have to eat them a few more times before I can given anything resembling a useful review. All of the sides are scratch-made, and the flavors show that off. My favorites are the red beans and rice, and the potato salad. Good prices, great portions, and wonderfully entertaining staff!"
yelp_train_318991,Negative,Came here with my,"girlfriend on a Friday night for happy hour, which is 4 to 7. Was told by the host that happy hour ends at 6pm when dinner starts.. odd. Anyways, the place looks great as it over looks the pool (which was empty as it was winter and pretty damn cold) and has a fairly large fireplace located at the end of the room. The restaurant was completely empty, save the lounge which had a few other patrons, about 7 other people.  The walk to get to this restaraunt was rather odd because we had go up an elevator, then walk across this \""skyline\"" that consisted of walkway with flat escalators. Then, we had to take yet another elevator up to Simon Restaurant and Lounge. Back to the food. We ordered everything from the happy hour menu. Calamari, Meatball Sliders, Truffle Mac & Cheese, Pizza, Caesar Salad. and a few cocktails. As advertised, the cocktails are $6 but there is an $3 upcharge if you mix it with Redbull or other mixers. The food was just \""OK\"". Nothing was special and nothing was memorable. The service was great on the other hand. The server and busser checked up on us from time to time and were friendly."
yelp_train_625827,Positive,Big fat YUM! Great,"drinks, delicious food! TPC has an atmosphere that is bright and airy for dining. The bar has fun lights over each table that harken of yesteryear."
yelp_train_463194,Negative,Don't,go on a rainy day. Water was dripping all over. Tacked on an extra 15% for gratuity on our party. Would not have minded if we received decent service. If looking to plan a party look elsewhere.
yelp_train_612345,Positive,After a recent move from,Chandler to Mesa I was hard pressed to find a decent Wellness Center until I found the giving tree. The staff are very very courteous as well as knowledgeable about the product. The location is very clean and very welcoming. In total 5 star great job guys
yelp_train_431607,Negative,I love coming to,"this Marshall's because it's always super clean and has great merchandise however this is the second occasion I feel their employees have been rude. This time a man named Bill who I'm assuming was a manager was helping at checkout. Bill literally said nothing to me except my total, I even greeted him and asked how his day was and even said thank you have a great day to neither of which did he respond to, just looked at me. I think at the bare minimum of customer service you should be responsive."
yelp_train_504131,Negative,"Too, too crowded! Drinks",are ridiculously overpriced and not strong nor particularly large. Hated the inside part of the club so we spent the majority of the evening outdoors. Nicki Minaj was supposed to be there the night we were there but she never showed. Thank goodness we didn't pay to get in! Hooray for being a girl in Vegas. No it's not fair but neither is life.
yelp_train_568660,Positive,I recently discovered this,"Water and Ice, mainly because it stays open until 10 pm.  For the past year I had been getting water for my dispenser from the Water n Ice at Scottsdale Road and Thomas. The owner there creeps me out, especially after asking me if he could please touch my \""beautiful\"" breasts. WTH? Plus he charges .45 per gallon and closes at 6 pm. The owner at this Water and Ice has always been kind and respectful. He only charges .25/gallon; a much more reasonable price for water. He offers a punch card, but you have to put a minimum of $25 on it. At .25/gallon, that card would last me a year so I haven't purchased the card. I pay cash per gallon each trip. I haven't tried the ice cream here, but will soon.  I'm going to have to remember to check in when I go next because I have been here at least 10 times in the last year."
yelp_train_439633,Positive,Pretty good spot,"with more pro than con. Manny at the front desk was awesome- Dog Friendly and free wifi and breakfast in the morning. Clean - new hotel with comfortable bedding and a pool/spa But...this place is on an island. past the Equator and hidden behind the LOST plane. You see it from the freeway but good luck getting there There is Nothing....NOTHING... near this hotel other than industrial buildings and railroad tracks. Still, I stopped on a long drive and it was great for a 10 hour rest stop."
yelp_train_13615,Positive,My only dissappointment,"(actually there is one more and it has to do with cold balls...proceed with caution) with the Herberger was I thought it was called the Hamburger Theatre and was looking forward to a meaty snack. But alas. It is the Herberger. Not the Himberger. Or the Itsmyberger. The Herberger. Rickie was an \""esteemed and prestigious\"" judge at the Miss Black Arizona Pagaent. A pagaent, mind you, that lasted SIX hours. So I was a frequent customer at the bar. And the restroom. So I can attest to good bar service. One time as I grabbed a cookie from the bar, he politely told me they were $1.50. Oops. Color me red. I had started out in the VIP lounge where everything was complimentery. Including the ice cold meatballs. But I digress. The restrooms. Clean. Really, really clean. The box office staff was friendly and helped find the right person who had my ticket. Rickie had already been seated. You know, as the \""esteemed and prestigious judge\"". I was basically road kill at this point. Finally got my balcony seat and had a great view of the pagaent and could see Rickie writing and watch him texting me. Now back to the VIP Lounge. No bar set up. Which equals no adult beverages. Kinda sucked. And the food was COLD. I met the craziest pagaent moms. One lady, in fun, even told me to \""talk to the hand\"". I kid you not. Oh. Parking you ask? Across the street. I think we spent five bucks. I would most definitely return to the Herberger. I will remember to bring my own cookies and to ask how long the show will be. The art scattered about was enjoyable and the theatre itself was quite beautiful. Hopefully sometime soon the Pet Shop Boys will perform here. That's all I have..."
yelp_train_186008,Negative,I am so disappointed... First they,have no turkey? I ordered a beef brisket sandwich but they have no whole wheat buns? I ordered the green beans and they were tasteless and cold. The sandwich was good. The ice tea was terrible and came out of a machine for gods sake?
yelp_train_491177,Negative,I,"actually do love burgers and I did not love this place. Hate would be a strong word... but strong dislike is absolutely on the mark.  I got their bacon burger, which was supposed to have an overload of bacon, but didn't. I ordered the burger \""medium rare\"" which is how I usually get it, but for some reason got it raw instead. It was so undercooked that it didn't fully warm in the middle. I took a couple bites and feared that if I continued I would feel sick. So I stopped. We also got some Parmesan garlic fries and sweet potato fries, both of which were pretty limp and disappointing. Even if the burger was cooked ok, it would still have been overpriced and underwhelming. Plenty of good food spots in Vegas, this is not one of them."
yelp_train_92209,Positive,This place sells,"janitorial supplies, but I go there once a year to have my vacuum serviced. Imagine what a shedding ChowChow does to a vacuum! The guys are always very good about telling me exactly what is wrong with the machine, never try to upsell, are fair and very reasonably priced. The central location has worked for me even though I've lived at every end of the valley."
yelp_train_366760,Positive,Met,"my mom and her husband at Avalon for Mother's Day dinner.  I had called ahead for a reservation just in case others were too lazy to get up for brunch. Luckily this was not necessary because the elder generation was almost 30 minutes late. My fault, not theirs.  My fiance and I sat in the comfy lounge rooting the Suns on to victory and enjoyed a drink while waiting. Fantastic sangria for me (on the dry side but that was perfect) and 15-year-old scotch for my fiance.  There was such a mellow, relaxed vibe in the lounge and that continued into the dining room when we were seated.  Here's a summary of the food:  Appetizers we tried:  Steamed Prince Edward Isle Mussels--fresh, perfectly steamed mussels with smoked fish--wonderful  Grilled Flat Iron Steak Salad--the freshest greens, juicy steak and that lemon dust--wonderful also  Entrees:  Seared Maine Diver Scallops--again, scallops perfectly cooked but the blue crab risotto it was served on was gummy and tasteless  Pan Roasted Rib-eye Steak--both orders were cooked exactly as requested (one medium rare, one medium well). Normally served with a mushroom-barley \""risotto\"" which was described as \""only okay\"" by the one person who stuck with that. The other person chose to replace the \""risotto\"" with garlic smashed potatoes, which were very good  All Day Braised Veal \""Pot Roast\""--the veal was spectacular, so tender but the sweetbreads on top were not a hit even though the diner said she normally loves sweetbreads. Served on a pile of the garlic smashed potatoes.  Dessert:  Milk Chocolate Peanut Butter Torte--tiny portion on a huge plate once you taste how rich and dense it is, there is no need for more. Very satisfying.  Creme Brulee--a bit of a twist with some crunchy coconut on top and served with the freshest macaroons I've ever had.  No five stars from me only because of the disappointment of the two risottos. Otherwise this slickly decorated but warm restaurant wowed us and ensured we'll be making a return trip. ** Have to add this on after reading other reviews. Am VERY disappointed that we didn't know they always have lobster bisque even though it's not on the menu. My mom LOVES lobster bisque and would have enjoyed having some. Also, we received plain butter with our bread, no special cranberry/herb mixture. Next time I'll know better but it's a shame this makes me rethink the 4 stars. **"
yelp_train_251774,Negative,I've,"had a few different smoothies at Jamba Juice - the Mango-a-go-go used to be really good but over time, I find it's now just really sweet & not too impressive. The Caribbean passion is the same way. When they introduced the Fit 'N Fruitful smoothies, I gave those a try, to only find myself disappointed. They almost just tasted watery & unappetizing. I haven't had the oatmeal in a while but it used to be a pleasant breakfast. Since it's hot here 80% of the time, it's nice to get something cold & refreshing but when there are so many competing smoothie places, it's hard to choose Jamba as my place to go."
yelp_train_363458,Negative,This Walmart,sucks. There's never enough employees to deal with the massive hordes of customers. There is almost always somebody trying to shoplift something. There is also a lot of bickering and arguing between customers in line. It's like a ghetto.
yelp_train_401760,Negative,The,"service was actually pretty good, but the food was just awful. The prices are reasonable considering its in an airport. I ordered some burger with bacon, and it was the most disgusting thing I have eaten in a long, long time. The bacon was this weird, tasteless, odorless strip of cardboard, and the patty looked like something that had been sitting in 7/11 for 2 weeks. Probably won't go try it again next time I'm in Phoenix."
yelp_train_488074,Negative,I've bend here a,"couple times bc we got a Groupon for oil changes. If it wasn't for the coupon, I'd never go here. I'm always waiting to be helped with no acknowledgement even when workers walk in and see me and others waiting. I came once with an appointment and once without to get an oil change and I don't think having an appointment helps at all. This time it's taken over 2 hours and I can't get anyone to stop so I can ask how much longer it will take. And I made an appointment. The first time I called to make an appointment, they actually hung up on me instead of answering. I had to call back to get ahold of someone. When I went to pay, I asked if I needed to pay for the synthetic oil upgrade and he told me not to worry about it. Which was very nice since it took so long, but the way he said it makes me think they didn't actually use synthetic oil... And it doesn't say synthetic oil on my receipt. I won't be going here again if I don't have to."
yelp_train_550204,Negative,"The Signature dish,","the one an artist copied every hand movement of Ramsey's in NEON...Pass The beef Wellington was just awful. Soggy pastry, clumps of spice rub on the meat. Terrible, made me have to run to the restroom, NO SHIT! Literally, needed to puke but couldn't cuz it only has one stall. The Restroom is the size of a closet. The hostess has no personality, was a robot as we left Paris for London as she put it. Ok people, ipad menu, well drink menu. Waiter knowledgeable, however the rest of the staff looked clueless, just like the first week of his show. Too bad there's no Peter Lugers in Vegas. Teach Ramsey that the Scottish suck haggis at cooking beef."
yelp_train_194794,Positive,,"One of the few, if not ONLY thing left from my \""once upon a time, Cynthia lived in So Cal...the land of Hollywood, Disneyland, beaches and great weather.\"" Thank you In n Out for having locations here out in the dirty, dry, desert. Your burgers and fries taste so much better than THAT other place. *ahemfiveguysahem* Don't worry, I would never go to the dark side."
yelp_train_551365,Negative,I would not recommend this,"hotel to anyone unless you are staying for a short one or two night trip and plan on staying out of your room most of the time. Better customer service would have changed my entire experience. Pros: -well priced rooms (except the resort fee) -new furniture and curtains -if you're a guest valet is free (no one at the hotel told me) -bath & body works products in the restrooms  Cons: -1 star customer service level - employees at the front desk seem as if they expect complaints and warn you about everything negative without telling you about the good things like free valet for guests -2 out of 3 nights I could not reach the front desk on the phone - bathrooms have not been renovated, fixtures look about 30 years old with modern artwork put up around them -bad plumbing - 2 out of 4 elevators were consistently breaking down with guests stuck inside. At one point I had to wait 30 minutes to get on the elevator as my room was on the 23rd floor, we crossed our fingers every time we used them - my booking confirmation said I had a coffee maker in the room but soon found out they charge $2.50 to use 1 k-cup -Wifi is $9.99/day to use in the room -$20/day resort fee... No clue what it covered (not wifi or in room coffee) - no gym -no business center -self parking is free for guests but after they validated my parking on the first day my ticket no longer worked and I ended up paying $1/hr just to get out of the parking structure -self park is always full as guest parking is only floors 7-11.. I wish they told me about the free valet when I checked in -I could hear everything from the street on the 23rd floor! Screaming, sirens, a/c units from the parking structure, everything (I didn't ask for a higher floor because the elevators kept breaking down) -only about 10 channels available on the tv"
yelp_train_506420,Positive,,"Gonna write it again since my review was posted to my check-in... Goes to show how much I LOVED the show and couldn't wait to post a great review! AMAZBALLS!!! A definite must see for those looking for comedy, raunchy humor, and talent. This is more of a variety show with audience participation- making it seem like time went by really fast.  We bought our tickets at Tix4Tonight near the Paris hotel, but those stands are all over the strip. The ticket price was $90 and that included all taxes and fees, totally worth EVERY penny! If you go through TicketMaster or directly through Cesear's, you're looking at spending about $130+...! We were sat on the 6th row and had a great view. Like every other review on here states, every seat is pretty much great... Those sitting up front will be made fun of... and they don't hold anything back! So be ready! ENJOY!!!"
yelp_train_483870,Positive,,"Hubby, who's from Belgium, learned about this gem of a place from a friend who's French. Who else would know betterThought this is a MUST visit. It's across town from where we live but would drive the extra mile for real good bread and pastries. They do offfer lunch as well at the back counter which was not that noticeable from the front but they do have a sign board by the door. Hubby and I had the beef bourgignon and cassoulet the first time we went there. Very good but a bit salty for my taste. Bought several quiches to go - Lorraine,ham and cheese,onion, mushroom with goat cheese - flan, and macarons. Been back several times last month just because it was close by Summerlin hosp where hubby's having a procedure done, but definitely worth the trip for that alone. Macarons were not as amazing as some of the reviews I've read claim. I got one of each flavor @ $1 each, which was about 11, I think. They were ok. Baguettes were awesome both soft and crunchy. Yes, they have two kinds. Didn't know that. Btw, Croque monsieur was so yummy!! Five stars all around!"
yelp_train_536743,Negative,I went,to Mad Dog Saloon to celebrate Mother's Day with my Daughter. We each ordered a shot of whiskey. The woman bartender accepted cash payment from me and later charged my daughter for the same two shots. A man at the bar also paid cash for three shots for us and himself. The bartender took advantage of us by overcharging us. I called the management and they seemed hesitant to get involved. I have been a regular customer but because of the lack of concern from the manager I will not return to this establishment. I also would recommend people go elsewhere for a drink.
yelp_train_242771,Positive,I've,"never had a bad experience with Super Shuttle. They're relatively reliable. You just have to be prepared for riding in a sparse or packed van. However, I was surprised that Super Shuttle at Sky Harbor Phoenix Airport didn't have a reservation booth(s) for customers to reserve seatings as can be done in other airports. Instead, you have to go outside and spot a dispatcher for a ride. (It is highly recommended that you reserve in advance.) And depending where you're going (zones), you may have to wait a little while. I was suprised how cheap it was...$16 dollars, from the airport to Scottsdale. It cost almost twice as much for riding Super Shuttle from the Baltimore airport."
yelp_train_632160,Negative,We just got home from,"Native and we will more than likely not return. Food was sub-par & I'm not sure how to describe the service. We sat in the bar area & We ordered drinks from one waitress never to see her again. Then had 4-5 walk past us before one stopped to ask if we were being helped. She retrieved our drinks then never returned. Finally we ordered our food from a 3rd waitress who actually stuck around to bring our food to us. What we got were soggy unflavored wings, my wife got the worst Rueben she's ever had and my crispy chicken sandwich was over cooked to the point of jerky with veggies but no condiments on it making it even worse. When I removed the bun to apply ranch from the un-eatable wings there was a pool of grease on the lettuce under the chicken. A 4th waitress finally retrieved our check after asking 3 others to bring it. I know what your thinking its Saturday night and maybe too busy but the place wasn't busy at all. The bar seems like a free for all with no server coordination and makes for an irritating experience. Don't waste your time & money here."
yelp_train_141605,Positive,,"I cannot say much; however the brunch tapas buffet is amazing for the price. There is a gigantic selection of different plates to try with items that include pork belly or breakfast nachos. With a big selection in mind, it is not a bad idea to go with a big group so that you can share and try a good variety of what they have to offer.  Excellent Blood Mary's as well!"
yelp_train_225498,Positive,I love this place but,"the only reason why I didnt give it 5 stara is b/c it doesnt have a lot of vegan snack/desert options as the other Whole Foods. In my opinion, the Whole Foods on the strip and on Lake Mead are the best in town."
yelp_train_220273,Negative,The,food is great. The service is awful and slow.
yelp_train_123564,Positive,It's rare that,"you go to out to eat with a group and everyone loved what they ordered. The clams were fresh, the shrimp were huge and even the simple spaghetti and meatballs was ta die for. I highly recommend this place."
yelp_train_324046,Negative,So it's been a,"year since the last time I was here. I went because the kids really wanted to try it again. I guess they had better memories of this place than I did. Well, we went here and what can I say? It's still the same as before. 1 Star. I am all for a cheap meal, but I don't think I could do this place again. I wish it was different, it used to be awesome but not so much anymore."
